VOLNUM	fmriSeriesMoCoSeries_3.bxh	fmriSeriesMoCoSeries_5.bxh	fmriSeriesMoCoSeries_7.bxh	fmriSeriesMoCoSeries_9.bxh	fmriSeriesMoCoSeries_11.bxh
0	109.425	109.722	109.545	109.809	109.898
1	109.432	109.729	109.554	109.807	109.908
2	109.427	109.735	109.552	109.816	109.901
3	109.437	109.716	109.546	109.801	109.893
4	109.43	109.722	109.551	109.818	109.896
5	109.42	109.719	109.549	109.813	109.893
6	109.423	109.732	109.555	109.81	109.905
7	109.43	109.719	109.559	109.81	109.895
8	109.434	109.725	109.561	109.802	109.902
9	109.422	109.732	109.55	109.812	109.895
10	109.415	109.726	109.55	109.814	109.899
11	109.446	109.708	109.551	109.824	109.895
12	109.409	109.707	109.538	109.792	109.881
13	109.429	109.723	109.538	109.804	109.895
14	109.428	109.721	109.555	109.798	109.894
15	109.425	109.723	109.551	109.815	109.884
16	109.423	109.715	109.55	109.822	109.906
17	109.394	109.711	109.526	109.8	109.9
18	109.418	109.717	109.541	109.803	109.883
19	109.416	109.727	109.535	109.804	109.908
20	109.424	109.724	109.545	109.804	109.913
21	109.431	109.721	109.544	109.812	109.918
22	109.434	109.72	109.541	109.803	109.896
23	109.433	109.721	109.531	109.782	109.888
24	109.433	109.726	109.545	109.813	109.902
25	109.422	109.723	109.543	109.817	109.894
26	109.42	109.719	109.551	109.815	109.897
27	109.433	109.734	109.548	109.818	109.896
28	109.426	109.733	109.548	109.818	109.9
29	109.424	109.736	109.54	109.81	109.892
30	109.421	109.719	109.543	109.821	109.906
31	109.433	109.72	109.54	109.812	109.905
32	109.433	109.714	109.551	109.809	109.91
33	109.435	109.717	109.556	109.816	109.901
34	109.426	109.724	109.559	109.809	109.892
35	109.42	109.732	109.563	109.81	109.896
36	109.407	109.721	109.554	109.8	109.885
37	109.415	109.706	109.545	109.801	109.885
38	109.406	109.687	109.537	109.794	109.887
39	109.421	109.727	109.532	109.794	109.829
40	109.421	109.722	109.592	109.807	109.927
41	109.426	109.726	109.526	109.816	109.905
42	109.425	109.722	109.542	109.808	109.895
43	109.435	109.724	109.54	109.813	109.902
44	109.423	109.7	109.52	109.789	109.901
45	109.436	109.726	109.543	109.807	109.891
46	109.433	109.725	109.546	109.828	109.905
47	109.425	109.731	109.549	109.819	109.915
48	109.419	109.738	109.532	109.798	109.917
49	109.415	109.729	109.55	109.81	109.897
50	109.428	109.72	109.548	109.804	109.908
51	109.424	109.723	109.559	109.812	109.902
52	109.423	109.728	109.546	109.809	109.906
53	109.429	109.711	109.549	109.808	109.906
54	109.437	109.728	109.552	109.812	109.886
55	109.434	109.714	109.547	109.801	109.901
56	109.431	109.725	109.558	109.811	109.895
57	109.43	109.711	109.556	109.82	109.893
58	109.427	109.716	109.547	109.825	109.887
59	109.413	109.724	109.539	109.815	109.897
60	109.414	109.733	109.528	109.805	109.89
61	109.418	109.734	109.538	109.804	109.889
62	109.411	109.736	109.526	109.806	109.882
63	109.406	109.713	109.534	109.802	109.894
64	109.413	109.694	109.546	109.777	109.886
65	109.433	109.717	109.532	109.81	109.891
66	109.435	109.712	109.567	109.817	109.9
