VOLNUM	fmriSeriesMoCoSeries_3.bxh	fmriSeriesMoCoSeries_5.bxh	fmriSeriesMoCoSeries_7.bxh	fmriSeriesMoCoSeries_9.bxh	fmriSeriesMoCoSeries_11.bxh
0	54.7235	54.9073	55.1148	54.9442	55.1569
1	54.6806	54.8547	55.1336	54.9371	55.0862
2	54.6854	54.9278	55.0725	54.9092	55.1118
3	54.7075	54.8586	55.0854	54.9265	55.1274
4	54.6884	54.9041	55.118	54.9326	55.1317
5	54.738	54.8828	55.0902	54.9117	55.1874
6	54.7152	54.8776	55.1203	54.9471	55.1536
7	54.7121	54.9099	55.1052	54.9333	55.1428
8	54.754	54.8753	55.1237	54.9369	55.1754
9	54.7254	54.9391	55.1108	54.9445	55.1448
10	54.7117	54.8834	55.0987	54.9294	55.1793
11	54.7311	54.9055	55.1302	54.942	55.1638
12	54.7363	54.9406	55.139	54.952	55.1867
13	54.7313	54.9366	55.1286	54.9552	55.1601
14	54.7159	54.9303	55.1186	54.9864	55.1569
15	54.7399	54.8769	55.1054	54.9285	55.1286
16	54.7112	54.9085	55.1653	54.9668	55.1668
17	54.7481	54.9106	55.1215	54.9486	55.151
18	54.7612	54.9599	55.1425	54.9428	55.1915
19	54.7154	54.9691	55.0994	54.9032	55.155
20	54.7117	54.9316	55.1107	54.9608	55.1628
21	54.7393	54.8749	55.0808	54.9163	55.1334
22	54.6911	54.901	55.1168	54.9583	55.1584
23	54.7298	54.8756	55.1061	54.9599	55.157
24	54.7537	54.9543	55.1745	54.9606	55.1879
25	54.7316	54.8991	55.0801	54.9469	55.157
26	54.7166	54.8944	55.1048	54.9572	55.1816
27	54.7001	54.8753	55.0937	54.9345	55.1329
28	54.7364	54.886	55.093	54.9511	55.1686
29	54.7011	54.9364	55.132	54.918	55.124
30	54.7525	54.8987	55.1177	54.9301	55.1842
31	54.7244	54.9001	55.1478	54.9509	55.1225
32	54.735	54.9354	55.1308	54.9201	55.1905
33	54.7353	54.8948	55.1235	54.9611	55.1451
34	54.7022	54.93	55.1082	54.9303	55.1662
35	54.73	54.8907	55.117	54.9416	55.1509
36	54.6947	54.8962	55.1153	54.9504	55.1344
37	54.7031	54.9224	55.1182	54.946	55.175
38	54.739	54.8964	55.1116	54.9657	55.1515
39	54.7335	54.9212	55.1032	54.9234	55.1493
40	54.7459	54.91	55.1431	54.9525	55.1671
41	54.7104	54.893	55.1325	54.937	55.1731
42	54.7353	54.9264	55.1071	54.9306	55.1578
43	54.7178	54.8994	55.1121	54.9959	55.2163
44	54.7671	54.9513	55.1446	54.9369	55.1519
45	54.7326	54.8972	55.1052	54.9519	55.1566
46	54.7036	54.9115	55.1106	54.8951	55.1561
47	54.7272	54.9226	55.0774	54.9363	55.132
48	54.7283	54.9032	55.0932	54.9234	55.1536
49	54.7483	54.9209	55.1116	54.987	55.1402
50	54.7049	54.9294	55.1451	54.9416	55.1582
51	54.7209	54.9122	55.1079	54.9479	55.1137
52	54.7244	54.8941	55.132	54.9573	55.1554
53	54.7121	54.9002	55.1098	54.9435	55.1322
54	54.7333	54.9173	55.1078	54.9334	55.1962
55	54.6978	54.9046	55.1202	54.925	55.1654
56	54.7332	54.9119	55.1251	54.9625	55.2149
57	54.7063	54.8736	55.1555	54.9227	55.1525
58	54.743	54.9254	55.1048	54.962	55.1832
59	54.7377	54.886	55.1157	54.9781	55.1694
60	54.7233	54.9074	55.1371	54.9204	55.1446
61	54.7314	54.8935	55.1108	54.909	55.1778
62	54.7399	54.8915	55.1149	54.9884	55.1295
63	54.7374	54.9083	55.1155	54.9137	55.156
64	54.717	54.8862	55.1239	54.9361	55.1395
65	54.745	54.9298	55.1117	54.9383	55.1772
66	54.7099	55.0042	55.1004	54.9063	55.1271
67	54.7193	54.9368	55.1001	54.98	55.18
68	54.7181	54.8511	55.1172	54.9985	55.1242
69	54.7063	54.9566	55.1261	54.9394	55.1807
70	54.7276	54.9343	55.1257	54.9661	55.1718
71	54.7447	54.8917	55.0914	54.9246	55.1837
72	54.724	54.8828	55.0985	54.9272	55.1318
73	54.7093	54.9214	55.1217	54.9318	55.1712
74	54.7141	54.8915	55.1113	54.946	55.1221
75	54.7299	54.9464	55.1092	54.9604	55.1837
76	54.7565	54.8823	55.1673	54.9213	55.1546
77	54.7439	54.8931	55.1499	54.9498	55.1559
78	54.7264	54.8979	55.134	54.9147	55.1363
79	54.7086	54.904	55.0896	54.9081	55.1625
80	54.7227	54.8888	55.1255	54.9664	55.1512
81	54.7121	54.9255	55.1088	54.9495	55.1412
82	54.7246	54.8939	55.1106	54.9565	55.1766
83	54.718	54.9049	55.1276	54.9551	55.13
84	54.7121	54.9104	55.0938	54.925	55.1748
85	54.7459	54.9044	55.1174	54.9489	55.1567
86	54.7018	54.9303	55.1013	54.9503	55.1938
87	54.736	54.9056	55.0905	54.9738	55.1678
88	54.7352	54.9115	55.1477	54.9405	55.1745
89	54.7202	54.9443	55.1045	54.9715	55.1926
90	54.746	54.9419	55.1214	54.9594	55.152
91	54.7556	54.9131	55.0929	54.8727	55.1766
92	54.7245	54.8782	55.1141	54.9724	55.1414
93	54.6891	54.8921	55.1091	54.9813	55.1514
94	54.7294	54.9172	55.1461	54.9204	55.1109
95	54.7065	54.9284	55.142	54.9304	55.1695
96	54.7648	54.9133	55.1297	54.9233	55.1248
97	54.6138	54.8932	55.1252	54.9567	55.1851
98	54.8434	54.9138	55.116	54.967	55.1681
99	54.783	54.8949	55.0855	54.9281	55.183
100	54.7116	54.931	55.1344	54.9296	55.1324
101	54.6837	54.9035	55.1509	54.8981	55.1421
102	54.7403	54.9063	55.1053	54.9266	55.1502
103	54.6936	54.9059	55.098	54.9771	55.1639
104	54.7065	54.901	55.1336	54.9472	55.1479
105	54.7057	54.909	55.0877	54.9582	55.1658
106	54.7397	54.9064	55.1237	54.9261	55.1431
107	54.7064	54.9068	55.0865	54.962	55.177
108	54.728	54.9153	55.1476	54.9243	55.1369
109	54.7379	54.8918	55.0935	54.9556	55.163
110	54.709	54.9259	55.0988	54.9711	55.165
111	54.7061	54.91	55.1185	54.9359	55.1737
112	54.7227	54.9125	55.1237	54.9672	55.1973
113	54.7532	54.9096	55.1421	54.9292	55.1629
114	54.7193	54.9001	55.105	54.9258	55.1766
115	54.7329	54.8992	55.114	54.9803	55.1427
116	54.7815	54.9136	55.1037	54.9343	55.1487
117	54.7562	54.9702	55.1241	54.9619	55.1454
118	54.7156	54.9043	55.1181	54.9138	55.1847
119	54.7374	54.9126	55.1341	54.973	55.1455
120	54.7024	54.8699	55.1292	54.9082	55.1565
121	54.7522	54.9318	55.1561	54.9602	55.1516
122	54.6993	54.9027	55.0996	54.9353	55.1778
123	54.7237	54.9503	55.1446	54.9643	55.1287
124	54.6796	54.907	55.0847	54.9036	55.1585
125	54.7229	54.8833	55.1133	54.92	55.1331
126	54.7268	54.8967	55.1232	54.9391	55.1095
127	54.7389	54.8881	55.1263	54.937	55.1392
128	54.7236	54.9009	55.115	54.9471	55.1843
129	54.7128	54.9168	55.0763	54.9528	55.178
130	54.7179	54.9036	55.0946	54.9812	55.1861
131	54.7016	54.9296	55.0685	54.98	55.1694
132	54.7326	54.8937	55.1117	54.9319	55.1924
133	54.7561	54.9144	55.1335	54.9308	55.1748
134	54.7076	54.896	55.1833	54.9362	55.1927
135	54.7205	54.902	55.1249	54.9207	55.1344
136	54.7414	54.9457	55.119	54.9882	55.1502
137	54.7243	54.904	55.0896	54.9211	55.1235
138	54.7371	54.9194	55.1083	54.9403	55.1288
139	54.7404	54.9034	55.1424	54.9488	55.1683
140	54.7085	54.9103	55.1043	54.9091	55.141
141	54.7389	54.9242	55.1696	54.9367	55.1874
142	54.7245	54.919	55.1129	54.9699	55.1573
143	54.8003	54.9516	55.1232	54.9588	55.1867
144	54.7022	54.8976	55.0916	54.9286	55.1569
145	54.6994	54.9248	55.1177	54.9538	55.1683
146	54.7175	54.8815	55.0978	54.9257	55.1392
147	54.721	54.9327	55.1163	54.9095	55.1663
148	54.7155	54.9038	55.1278	54.9413	55.1403
149	54.7254	54.9049	55.1355	54.9168	55.153
150	54.727	54.8811	55.0965	54.9879	55.1487
151	54.7132	54.8811	55.1189	54.9656	55.1643
152	54.7095	54.883	55.0882	54.9741	55.1552
153	54.7191	54.9089	55.14	54.9511	55.1881
154	54.7033	54.9131	55.081	54.9951	55.168
155	54.7483	54.9016	55.1324	54.9249	55.1353
156	54.7298	54.9349	55.0906	54.9495	55.1296
157	54.7301	54.8885	55.1486	54.9214	55.1178
158	54.7015	54.9367	55.107	54.9086	55.1456
159	54.7486	54.8959	55.153	55.0121	55.1649
160	54.7326	54.9239	55.1149	54.9155	55.1834
161	54.758	54.9184	55.122	54.9114	55.1636
162	54.7221	54.8972	55.0959	54.9146	55.2296
163	54.7172	54.9412	55.1382	54.9258	55.183
164	54.7502	54.8941	55.1193	54.922	55.1976
165	54.7271	54.9156	55.1185	54.9385	55.1601
