VOLNUM	fmriSeriesMoCoSeries_3.bxh	fmriSeriesMoCoSeries_5.bxh	fmriSeriesMoCoSeries_7.bxh	fmriSeriesMoCoSeries_9.bxh	fmriSeriesMoCoSeries_11.bxh
0	4.03677	4.20151	4.27262	4.51401	4.45197
1	3.88058	4.14258	4.20522	4.24572	4.5146
2	4.18404	4.07553	4.39977	4.30132	4.3517
3	4.16322	4.33699	4.2893	4.27785	4.3572
4	4.08987	4.29798	4.41952	4.29032	4.33213
5	3.83603	4.13286	4.43454	4.16404	4.37636
6	4.08305	4.27528	4.56347	4.17661	4.38892
7	4.16113	4.48065	4.3381	4.28062	4.4559
8	4.02278	4.20677	4.5217	4.25257	4.29412
9	4.00141	4.44625	4.4156	4.27492	4.24523
10	4.06019	4.05192	4.52738	4.38098	4.38896
11	4.15506	4.44516	4.70153	4.30869	4.64454
12	4.22091	4.22189	4.5935	4.33091	4.3455
13	3.97674	4.28802	4.66852	4.47251	4.04612
14	4.41513	3.94857	4.63716	4.38925	4.27736
15	4.2295	4.01289	4.6527	4.43688	4.00858
16	4.44252	4.15943	4.61146	4.37389	4.17857
17	4.11196	4.0642	4.68541	4.26413	4.3148
18	4.31906	4.33318	5.06165	4.53628	4.23041
19	4.42025	4.19496	4.70476	4.68802	3.94305
20	4.3084	4.29544	4.72354	4.72573	4.06105
21	4.31973	4.14957	4.38551	4.37983	3.84994
22	4.18059	4.06346	4.40811	5.01719	4.30759
23	4.41555	4.26177	4.75201	4.73327	4.06248
24	4.35156	4.14765	4.5233	4.43517	4.01251
25	4.62428	4.00232	4.47287	4.77268	3.93516
26	4.46738	4.52457	4.21909	4.55099	4.30128
27	4.0316	4.45873	4.21633	4.68287	4.41171
28	3.98493	4.40017	4.23234	4.83093	4.07643
29	4.11705	4.17907	4.35796	4.33767	4.39574
30	4.15388	4.7216	4.27352	4.41012	4.41461
31	4.21936	4.47467	4.50016	4.32042	4.22615
32	4.43789	4.51479	4.48847	4.51126	4.09357
33	4.25158	4.05526	4.38694	4.32111	4.45563
34	4.45834	4.4868	4.72318	4.20596	4.4847
35	4.22723	4.27116	4.38264	4.50525	4.3426
36	4.56335	4.53717	4.63086	4.16548	4.06446
37	4.04974	4.5066	4.23346	4.48985	4.31284
38	4.17978	4.43618	4.21319	4.54656	4.37843
39	4.31781	4.30062	4.47983	4.18615	4.17706
40	4.00053	4.18829	4.29872	4.42507	4.04727
41	4.37937	4.10027	4.60232	4.42467	4.18366
42	4.18862	4.21699	4.33158	4.36697	4.46471
43	4.60237	4.58716	4.32854	4.41359	4.39793
44	4.38883	4.52578	4.30878	4.53384	4.53164
45	4.22605	4.42065	4.48847	4.16536	4.53416
46	4.20322	4.21299	4.19271	4.26652	4.39317
47	4.35772	4.09768	4.11672	4.05099	4.41115
48	4.06419	4.45147	4.26209	4.37228	4.47619
49	4.1243	4.86461	4.37536	4.17958	4.47424
50	4.21453	4.49992	4.2289	4.39152	4.15175
51	3.83354	4.33197	4.1307	4.24695	4.01587
52	4.13506	4.2634	4.20395	4.19777	4.08643
53	4.22469	4.19358	4.20762	4.39442	4.18016
54	4.13952	4.1265	4.14781	4.32276	4.4033
55	4.11787	4.15708	4.21202	4.25905	3.96662
56	4.18458	4.11825	4.45097	4.3225	4.07289
57	4.1745	4.29749	4.48863	4.12054	4.05615
58	4.33718	4.287	4.52152	4.31449	4.63363
59	4.06868	4.11568	4.3953	4.21115	4.06424
60	4.12162	4.08308	4.39002	4.37685	4.17077
61	3.98011	4.02813	4.52606	4.29052	4.32447
62	4.20239	4.21466	4.31798	4.13618	4.32538
63	4.33921	4.94678	4.87051	4.09013	4.62696
64	4.35168	4.73715	4.48962	4.03711	4.53918
65	4.31021	4.38734	4.47605	4.13662	4.52111
66	4.15184	4.62676	4.3989	4.35812	4.5317
67	4.1974	4.33888	4.41679	4.5783	4.56072
68	4.29583	4.50124	3.89738	4.43214	3.85903
69	4.17998	4.36665	4.62187	4.73933	4.29197
70	4.00561	4.66004	4.61036	4.42825	4.31287
71	4.34783	4.42062	4.62338	4.58784	3.98117
72	4.61086	4.45723	4.40693	4.42249	4.35251
73	4.14862	4.15347	4.29513	4.46731	4.3446
74	4.1629	4.23597	4.44926	4.50198	4.88905
75	4.27436	4.43193	4.39372	4.72958	4.47336
76	4.18059	4.00665	4.26842	4.44252	4.40951
77	4.09923	4.15816	4.54216	4.22177	4.44502
78	3.76386	4.00654	4.04318	4.39163	3.98682
79	3.98375	3.83158	4.30273	4.17521	3.994
