VOLNUM	fmriSeriesMoCoSeries_3.bxh	fmriSeriesMoCoSeries_5.bxh	fmriSeriesMoCoSeries_7.bxh	fmriSeriesMoCoSeries_9.bxh	fmriSeriesMoCoSeries_11.bxh
0	110.151	110.172	109.978	110.015	110.062
1	110.159	110.171	109.967	110.019	110.057
2	110.147	110.171	109.986	110.018	110.047
3	110.153	110.155	109.972	110.019	110.051
4	110.149	110.175	109.98	110.009	110.069
5	110.158	110.167	109.972	110.023	110.049
6	110.147	110.166	109.963	109.997	110.066
7	110.154	110.169	109.985	110.019	110.056
8	110.158	110.171	109.975	110.019	110.075
9	110.157	110.181	109.976	110.012	110.054
10	110.159	110.171	109.985	110.013	110.065
11	110.17	110.175	109.994	110.017	110.051
12	110.137	110.178	109.966	110.015	110.068
13	110.152	110.16	109.987	110.011	110.061
14	110.149	110.181	109.983	110.021	110.063
15	110.139	110.167	109.97	110.016	110.063
16	110.152	110.179	109.98	110.027	110.055
17	110.145	110.17	109.984	110.026	110.063
18	110.167	110.181	109.982	110	110.065
19	110.154	110.175	109.976	110.024	110.066
20	110.147	110.183	109.965	110	110.079
21	110.144	110.17	109.975	110.01	110.053
22	110.17	110.183	109.995	110	110.071
23	110.149	110.161	109.961	110.016	110.053
24	110.152	110.179	109.986	110.029	110.063
25	110.155	110.169	109.986	110.034	110.073
26	110.151	110.166	109.974	110.026	110.044
27	110.147	110.17	109.975	110.005	110.064
28	110.147	110.174	109.976	110.007	110.068
29	110.159	110.164	109.976	110.01	110.059
30	110.14	110.165	109.977	110.004	110.077
31	110.15	110.167	109.981	110.015	110.054
32	110.149	110.178	109.973	110.002	110.065
33	110.151	110.168	109.984	110.024	110.056
34	110.141	110.183	109.975	110.006	110.068
35	110.149	110.166	109.991	110.031	110.05
36	110.152	110.177	109.97	110.01	110.065
37	110.178	110.172	109.986	110.019	110.056
38	110.147	110.172	109.984	110.011	110.061
39	110.155	110.178	109.98	110.011	110.053
40	110.146	110.165	109.974	110.025	110.06
41	110.154	110.179	109.982	110.02	110.048
42	110.165	110.166	109.97	110.012	110.045
43	110.157	110.176	109.977	110.022	110.085
44	110.154	110.185	109.971	110.029	110.066
45	110.148	110.172	109.99	110.024	110.069
46	110.147	110.176	109.975	110.015	110.072
47	110.153	110.18	109.983	110.008	110.054
48	110.155	110.164	109.979	110.007	110.069
49	110.152	110.176	109.975	110.011	110.051
50	110.146	110.175	109.975	110.015	110.073
51	110.148	110.166	109.985	110.023	110.065
52	110.157	110.178	109.972	110.006	110.07
53	110.147	110.168	109.995	110.024	110.07
54	110.152	110.176	109.971	110.011	110.06
55	110.147	110.169	109.987	110.006	110.074
56	110.149	110.168	109.974	110.016	110.053
57	110.15	110.164	109.981	110	110.073
58	110.14	110.167	109.971	110.015	110.057
59	110.153	110.163	109.969	110.004	110.069
60	110.152	110.169	109.981	110.014	110.052
61	110.15	110.17	109.971	110.01	110.057
62	110.152	110.171	109.978	110.03	110.052
63	110.154	110.177	109.973	110.026	110.047
64	110.157	110.171	109.975	110.026	110.054
65	110.157	110.182	109.989	110.027	110.046
66	110.151	110.183	109.979	110.02	110.052
67	110.163	110.182	109.98	110.01	110.076
68	110.159	110.183	109.981	110.014	110.062
69	110.158	110.157	109.977	110.003	110.067
70	110.146	110.182	109.998	110.025	110.056
71	110.155	110.173	109.976	110.02	110.076
72	110.154	110.173	109.996	110.007	110.066
73	110.14	110.172	109.975	110.026	110.073
74	110.15	110.188	109.981	110.008	110.063
75	110.145	110.157	109.966	110.016	110.068
76	110.151	110.167	109.968	110.015	110.066
77	110.157	110.17	109.982	110.002	110.075
78	110.148	110.175	109.97	110.013	110.055
79	110.156	110.166	109.988	110.014	110.063
80	110.153	110.175	109.967	110.009	110.064
81	110.147	110.164	109.978	110.023	110.049
82	110.144	110.171	109.972	110.009	110.067
83	110.137	110.176	109.972	110.016	110.051
84	110.155	110.171	109.99	110.023	110.074
85	110.152	110.177	109.982	110.008	110.045
86	110.152	110.164	109.97	110.021	110.066
87	110.161	110.18	109.972	110.017	110.049
88	110.152	110.167	109.989	110.01	110.055
89	110.16	110.17	109.979	110.023	110.052
90	110.161	110.197	109.991	109.997	110.061
91	110.154	110.141	109.972	110.026	110.08
92	110.138	110.187	109.981	110.017	110.054
93	110.148	110.169	109.977	110.012	110.08
94	110.177	110.18	109.985	110.015	110.069
95	110.144	110.166	109.963	110.015	110.053
96	110.152	110.171	109.99	110.019	110.062
97	110.154	110.174	109.974	110.016	110.068
98	110.145	110.188	109.971	110.025	110.061
99	110.152	110.166	109.992	110.017	110.075
100	110.146	110.172	109.963	110.015	110.053
101	110.154	110.181	109.996	110.023	110.067
102	110.144	110.154	109.971	110.022	110.041
103	110.148	110.179	109.987	110.017	110.086
104	110.156	110.173	109.975	110.007	110.049
105	110.157	110.181	109.975	110.004	110.074
106	110.153	110.17	109.986	110.01	110.061
107	110.145	110.175	109.976	110.011	110.072
108	110.142	110.174	109.977	110.009	110.059
109	110.141	110.161	109.974	110.012	110.048
110	110.155	110.169	109.982	110.014	110.055
111	110.161	110.16	109.974	110.013	110.056
112	110.155	110.17	109.984	110.019	110.05
113	110.16	110.168	109.981	110.009	110.059
114	110.15	110.177	109.972	110.025	110.064
115	110.15	110.171	109.972	109.996	110.056
116	110.151	110.183	109.976	110.032	110.072
