VOLNUM	fmriSeriesEncode#1Run1_3.bxh	fmriSeriesEncode#1Run2_5.bxh	fmriSeriesEncode#1Run3_7.bxh	fmriSeriesEncode#1Run4_9.bxh	fmriSeriesEncode#1Run5_11.bxh
0	193.579	302.953	330.719	332.576	228.659
1	430.776	562.608	568.051	640.935	418.773
2	407.737	426.642	419.68	629.1	361.269
3	313.942	345.055	366.457	366.781	329.848
4	289.181	305.748	419.684	281.148	227.14
5	280.411	307.644	292.453	373.595	291.886
6	247.783	250.768	285.114	276.972	274.226
7	244.881	228.892	439.317	281.116	201.514
8	198.923	205.251	367.21	278.863	234.591
9	236.843	224.376	323.004	189.941	232.757
10	185.78	211.864	318.576	223.043	171.178
11	175.888	162.063	255.285	220.22	176.743
12	244.166	218.24	230.16	173.028	173.339
13	216.652	216.457	197.679	164.721	162.863
14	174.718	207.026	196.432	192.561	180.994
15	182.607	188.372	217.203	159.3	175.761
16	170.722	150.815	194.772	156.659	147.195
17	183.151	142.038	180.942	151.987	165.872
18	158.266	169.431	190.374	174.713	154.131
19	136.257	157.815	224.942	184.563	152.306
20	150.231	146.074	223.434	158.794	140.631
21	155.72	162.038	221.59	142.474	147.223
22	137.646	155.416	213.319	155.462	131.924
23	152.842	146.26	178.821	175.462	168.055
24	182.625	151.417	203.502	150.125	155.094
25	173.357	168.745	187.673	163.043	142.278
26	176.758	144.151	155.087	137.513	138.452
27	142.484	147.553	158.65	136.983	156.99
28	159.579	182.074	187.638	136.826	162.865
29	150.772	150.018	188.735	124.588	138.892
30	150.704	136.709	191.334	154.554	131.038
31	195.49	195.413	183.683	170.405	185.987
32	151.191	149.305	159.855	136.651	134.288
33	138.613	121.024	147.714	157.943	135.053
34	143.196	147.031	158.769	128.367	138.471
35	140.714	142.65	165.162	128.906	125.293
36	143.109	137.627	147.664	139.615	128.582
37	135.719	146.965	145.902	125.586	140.992
38	136.712	120.175	131.734	141.584	148.737
39	134.748	142.358	187.286	125.387	129.543
40	168.949	139.36	178.872	126.587	129.209
41	170.283	121.627	186.928	140.367	144.203
42	156.29	141.338	175.887	129.523	127.422
43	155.391	121.915	146.454	127.006	138.904
44	143.477	127.053	164.294	126.696	141.246
45	155.464	135.702	135.392	135.262	115.813
46	144.086	124.943	160.394	119.699	136.487
47	128.754	127.619	142.334	148.044	140.858
48	195.572	127.67	156.461	125.359	114.645
49	187.075	120.526	145.055	121.568	132.185
50	157.901	133.811	149.856	140.509	123.785
51	133.564	152.117	159.245	114.935	131.614
52	133.63	145.641	158.238	115.609	134.101
53	154.702	145.103	198.295	120.469	122.994
54	186.65	158.095	187.394	127.222	148.079
55	200.603	131.06	189.36	141.185	126.358
56	148.134	126.26	204.093	116.528	133.737
57	162.23	178.219	138.232	155.028	126.435
58	175.225	141.429	148.573	118.026	169.861
59	207.088	153.195	176.325	122.863	123.838
60	133.889	163.522	159.598	156.72	180.543
61	151.325	124.636	170.18	138.01	174.477
62	159.098	171.55	174.305	227.436	119.205
63	160.622	130.517	177.117	163.074	118.382
64	135.22	153.855	139.313	142.898	150.602
65	151.837	167.362	149.736	157.484	125.462
66	144.198	140.801	175.976	176.81	125.507
67	159.976	119.068	207.759	156.109	139.914
68	134.298	152.888	151.354	192.656	142.877
69	136.354	154.927	132.443	156.729	156.558
70	141.492	137.104	156.591	134.913	176.787
71	135.773	140.87	172.408	120.153	161.227
72	141.598	115.351	181.784	134.089	140.734
73	168.074	161.626	153.708	130.245	121.795
74	138.67	127.934	139.245	142.644	151.596
75	153.237	145.777	259.754	155.652	160.818
76	136.34	145.071	169.345	132.298	153.617
77	131.081	141.045	157.89	132.944	155.61
78	122.312	113.123	148.392	153.454	154.376
79	126.022	111.813	137.463	180.672	124.658
80	131.198	135.191	177.128	173.572	125.754
81	132.264	142.678	217.919	160.305	120.751
82	138.405	158.924	137.92	112.987	135.573
